MD,INC,AZI
74.2,0,0
82.2,0.23,67.4
125,0.14,25.7
140,0.14,3.2
168.7,0.11,351.4
198.1,0.13,338.4
226.6,0.09,333.3
255.3,0.05,312.1
284.2,0.04,292.3
312.3,0.03,288.4
341,0.04,56.2
369.7,0.05,327.1
398.5,0.06,1.7
426.7,0.13,315
454.7,0.15,293.2
483.8,0.17,302
513.1,0.17,298.1
542.2,0.17,318.5
571.1,0.17,303.4
599.8,0.13,273.6
628.6,0.09,277.3
656.8,0.1,243.7
686,0.1,261.9
715.5,0.14,261.9
744.7,0.19,299.5
773.7,0.17,304.1
801.9,0.17,329.6
830.8,0.19,331.6
859.6,0.22,327.4
887.9,0.18,6.9
917.1,0.19,329
946.5,0.17,311.1
1004.3,0.24,90.8
1033,0.4,34.9
1062.5,0.29,326.5
1091.4,0.33,287.4
1120,0.24,225.5
1148.7,0.25,209
1177.6,0.3,200.6
1198,0.18,215.8
1206.7,0.13,230.6
1235.1,0.24,197.2
1264.4,0.2,222.9
1293.2,0.12,216.8
1321.6,0.14,233.3
1350.4,0.27,182.8
1368,0.24,185.4
1379.7,0.22,188
1408.3,0.2,169.9
1437.4,0.16,180.4
1438,0.16,180.4
1466.6,0.2,213
1495.1,0.16,193.5
1524.4,0.27,169.2
1526,0.27,169.2
1553.3,0.32,141.2
1582.1,0.48,120.5
1611.3,0.73,112
1640.3,1.18,105.5
1668.6,1.34,101.7
1696.7,1.45,106
1703,1.44,113.4
1733,1.56,117
1762,1.7,119.5
1791,1.92,120.5
1820,2.2,115.7
1849,2.21,113.5
1857,2.18,111.2
1869,2.13,107.5
1883,2.51,99
1914,2.53,93.9
1942,2.62,88.4
1943,2.58,93.5
2001,2.81,91.2
2028,2.9,90.7
2058,2.99,89.8
2115,3.2,92.5
2144,3.34,91.7
2172,3.49,72.6
2201,3.58,93
2229,3.7,90.7
2257,3.87,91.8
2287,3.91,92.9
2316,4.13,97.1
2345,4.29,98.6
2373,4.41,99.3
2402,4.7,104
2431,4.65,105.2
2460,4.73,105.8
2519,4.97,109.3
2578,5.01,111.2
2636,5.07,114.4
2662,5.04,114.8
2691,5.03,116.3
2720,5.05,115.8
2749,5.08,117.3
2778,5.21,116.5
2807,5.15,116.7
2836,5.22,116.2
2865,5.09,116.8
2923,5.24,116.3
2952,5.26,116.7
2981,5.2,116.1
3009,5.3,114
3038,5.52,114.1
3067,5.47,113.2
3096,5.52,112.9
3124,5.6,110.8
3155,5.66,109.8
3182,5.82,109.8
3211,5.71,109.3
3269,5.69,107.8
3298,5.72,105.7
3327,5.72,105.4
3356,5.69,105.4
3385,5.6,105.1
3414,5.37,102.4
3443,5.34,101.8
3471,5.19,101.4
3500,5.03,100.3
3523,4.84,100.2
3552,3.97,9.1
3581,3.14,81.8
3611,1.69,67.1
3638,1.17,40.4
3668,1.26,345.1
3697,2.02,324.2
3725,2.73,319
3754,3.19,315.9
3783,3.57,313.8
3841,2.99,317.2
3843,3.59,317.5
3870,2.95,314
3898,2.61,317.4
3927,2.71,314.8
3956,2.92,313.6
3985,3.27,316.2
4014,3.45,313.7
4043,3.4,316.7
4072,3.34,316.7
4101,3.29,318.7
4131,3.54,322.9
4159,3.47,322.5
4188,2.99,324.9
4217,2.6,319.8
4246,2.42,317.7
4275,1.9,308.7
4303,1.69,314.4
4328,2.5,315.9
4332,2.63,316
4361,2.86,314.7
4389,2.96,315.1
4418,2.95,315.6
4447,2.81,318.5
4476,2.74,325.1
4534,2.13,326.6
4563,1.41,322.9
4592,1.67,321
4621,2.02,309
4650,1.67,290.4
4678,1.58,285.8
4707,1.32,273.2
4736,1.41,266.5
4765,1.26,278.9
4794,1.73,284.4
4819,1.95,284.3
4832,2.07,284.2
4861,2.33,277.6
4890,3.03,288.8
4917,4.03,287.7
4943,4.26,284.2
4946,4.29,283.8
4977,4.16,283.4
4985,4.21,285.6
4986,4.22,285.9
5005,4.36,290.9
5034,4.85,287.8
5063,4.65,287.3
5092,5.2,289
5121,4.99,290.7
5149,5.35,291.5
5178,5.25,289.4
5207,5.4,291.1
5236,5.49,293.2
5264,5.27,293.4
5292,5.04,296.5
5323,5.04,301.1
5342,4.85,303.1
5350,4.89,304.2
5372,5.03,307.1
5401,5.07,313.3
5419,4.96,319.3
5446,4.63,319.5
5460,4.45,320.9
5477,4.23,322.8
5505,4.09,314.6
5534,3.83,312.3
5563,4.67,311.7
5583,4.96,312.2
5605,4.96,312.2